Distance to edge[mm];ERF values;PSF values;
-0,185289;0,00641122;0,116188;
-0,184957;0,00681894;0,127019;
-0,184625;0,0073197;0,138666;
-0,184293;0,00782976;0,151514;
-0,183962;0,00821671;0,163505;
-0,18363;0,00825753;0,175014;
-0,183298;0,00872376;0,184937;
-0,182966;0,00951485;0,19439;
-0,182635;0,00994785;0,202924;
-0,182303;0,00899548;0,211486;
-0,181971;0,00946322;0,218746;
-0,181639;0,0102832;0,224872;
-0,181308;0,0110276;0,230817;
-0,180976;0,0110771;0,236069;
-0,180644;0,0122292;0,240836;
-0,180312;0,013832;0,244103;
-0,179981;0,0143062;0,246064;
-0,179649;0,0138155;0,247333;
-0,179317;0,0142883;0,247768;
-0,178985;0,0146676;0,246604;
-0,178653;0,0149461;0,244019;
-0,178322;0,0165614;0,240658;
-0,17799;0,0173846;0,236698;
-0,177658;0,0193443;0,231154;
-0,177326;0,0201699;0,224168;
-0,176995;0,0207122;0,215317;
-0,176663;0,0223624;0,20605;
-0,176331;0,0230486;0,196453;
-0,175999;0,0230828;0,187196;
-0,175668;0,0229248;0,177182;
-0,175336;0,022705;0,166434;
-0,175004;0,0233579;0,155432;
-0,174672;0,023832;0,143707;
-0,174341;0,0242408;0,132821;
-0,174009;0,0246538;0,12233;
-0,173677;0,0233891;0,111593;
-0,173345;0,0233951;0,101937;
-0,173014;0,0238052;0,0937125;
-0,172682;0,0233369;0,0861037;
-0,17235;0,0226794;0,0795193;
-0,172018;0,0220982;0,0729814;
-0,171687;0,0202595;0,0669034;
-0,171355;0,0208705;0,0615806;
-0,171023;0,0206221;0,0560363;
-0,170691;0,0186916;0,0516658;
-0,170359;0,0174507;0,0491023;
-0,170028;0,0168648;0,0481141;
-0,169696;0,0166332;0,0476795;
-0,169364;0,0165237;0,0483739;
-0,169032;0,0155967;0,049532;
-0,168701;0,0158113;0,051527;
-0,168369;0,0163455;0,0541201;
-0,168037;0,0166072;0,0581497;
-0,167705;0,016245;0,0630603;
-0,167374;0,0156539;0,0680412;
-0,167042;0,0151424;0,0736911;
-0,16671;0,0152202;0,0799149;
-0,166378;0,0154026;0,0871939;
-0,166047;0,0151419;0,09469;
-0,165715;0,0158098;0,102751;
-0,165383;0,0151661;0,111408;
-0,165051;0,0147084;0,1203;
-0,16472;0,0147788;0,129414;
-0,164388;0,01356;0,139536;
-0,164056;0,0135212;0,149096;
-0,163724;0,0134568;0,158148;
-0,163392;0,0125726;0,166837;
-0,163061;0,0130056;0,174945;
-0,162729;0,0140576;0,182107;
-0,162397;0,0139014;0,188326;
-0,162065;0,014394;0,192875;
-0,161734;0,0143022;0,196646;
-0,161402;0,0146541;0,199518;
-0,16107;0,014571;0,202237;
-0,160738;0,0160969;0,205393;
-0,160407;0,0175032;0,207617;
-0,160075;0,0185588;0,208233;
-0,159743;0,0199933;0,208106;
-0,159411;0,0204144;0,20692;
-0,15908;0,0205405;0,204874;
-0,158748;0,0214524;0,2018;
-0,158416;0,0219641;0,197545;
